,Chemical,Type,Total Underground
28,Methyl tert-butyl ether,TRI,21946.001
203,Methylene bromide,TRI,7076.0
21,Molybdenum trioxide,TRI,279392.0
77,"N,N-Dimethylformamide",TRI,788111.621
34,N-Methyl-2-pyrrolidone,TRI,5383535.027
25,Naphthalene,TRI,457263.56500000006
82,Nickel,TRI,93936.04999999999
100,Nickel  And Nickel Compounds,TRI,261228.06000000003
45,Nickel compounds,TRI,211449.4972
84,Nicotine and salts,TRI,0.015
10,Nitrate compounds (water dissociable; reportable only when in aqueous solution),TRI,34138341.122291
24,Nitric acid,TRI,7426541.591000001
194,Nitrilotriacetic acid,TRI,1780.0
23,Nitrobenzene,TRI,283215.01
59,Nonylphenol Ethoxylates,TRI,394.76
146,Paraquat dichloride,TRI,262.0
152,Parathion,TRI,0.007
191,Pendimethalin,PBT,0.008
76,Pentachlorobenzene,PBT,23.0018
176,Pentachloroethane,TRI,0.006
131,Peracetic acid,TRI,391.015
210,Perfluorooctanoic acid,TRI,288.0
110,Permethrin,TRI,1100.0
18,Phenanthrene,TRI,274.488
11,Phenol,TRI,1356879.2859999998
134,Phthalic anhydride,TRI,36741.027
213,Picric acid,TRI,80469.0
187,Polychlorinated biphenyls,PBT,0.19
130,Polycyclic aromatic compounds,PBT,20017.257
174,Propachlor,TRI,0.024
202,Propargyl alcohol,TRI,0.005
33,Propionaldehyde,TRI,129052.7
212,Propylene,TRI,24000.0
54,Propylene oxide,TRI,25546.0
69,Pyridine,TRI,528054.11
58,Selenium,TRI,671.89
98,Selenium  And Selenium Compounds,TRI,24150.2
192,Selenium compounds,TRI,353.0
209,Silver And Silver Compounds,TRI,9391.53
102,Silver compounds,TRI,30.0
204,Sodium dicamba,TRI,1.0
129,Sodium nitrite,TRI,1413713.2
2,Styrene,TRI,198566.396
138,Tetrachloroethylene,TRI,3.4090000000000003
160,Thallium compounds,TRI,15.0
4,Toluene,TRI,185158.954759
142,Toluene diisocyanate (mixed isomers),TRI,48456.088
147,"Toluene-2,4-diisocyanate",TRI,0.256
215,"Toluene-2,6-diisocyanate",TRI,0.01
201,Toxaphene,PBT,34.007
208,Trichloroethylene,TRI,0.112
12,Triethylamine,TRI,433.139
153,Urethane,TRI,0.232
67,Vanadium compounds,TRI,1500415.002597
19,Vinyl acetate,TRI,146856.045
148,Vinyl chloride,TRI,0.005
94,Vinylidene chloride,TRI,0.005
195,Warfarin and salts,TRI,0.027
40,Xylene (mixed isomers),TRI,314383.280118
158,Zinc (fume or dust),TRI,46.15
15,Zinc compounds,TRI,8224749.161599999
137,m-Cresol,TRI,587226.0
30,n-Butyl alcohol,TRI,754292.3219999999
132,n-Hexane,TRI,252390.978
38,o-Cresol,TRI,202537.61
72,o-Xylene,TRI,30175.0
120,p-Cresol,TRI,293615.0
144,p-Phenylenediamine,TRI,81.29
101,sec-Butyl alcohol,TRI,20.0
73,tert-Butyl alcohol,TRI,300339.4
