Chemical,Metal,Carcinogen,PBT,PFAS,Units,Air,Water,Landfill,Underground Wells,Land Treatment,Surface Impoundment,Recycled
"2,2-Bis(bromomethyl)-1,3-propanediol",NO,YES,NO,NO,Pounds,95.03,0.0,19102.35,0.0,0.0,0.0,0.0
"2,2-Dichloro-1,1,1-trifluoroethane (HCFC-123)",NO,NO,NO,NO,Pounds,58227.886,0.0,0.0,0.0,0.0,0.0,10.0
"2,3-Dichloropropene",NO,NO,NO,NO,Pounds,2897.0,0.0,0.0,0.0,0.0,0.0,31844.0
"2,4,5-Trichlorophenol",NO,NO,NO,NO,Pounds,7.039999999999999,0.0,0.0,0.0,0.0,0.1,171.0
"2,4,6-Trichlorophenol",NO,YES,NO,NO,Pounds,310.14021299999996,0.0,2.0,0.0,0.0,0.0,177.002
"2,4-D",NO,YES,NO,NO,Pounds,1305.921,231.02,1841.46,0.027,40.0,0.0,625.0
"2,4-D 2-butoxyethyl ester",NO,YES,NO,NO,Pounds,41.69,0.0,2.86,0.0,0.0,0.0,0.0
"2,4-D 2-ethylhexyl ester",NO,YES,NO,NO,Pounds,4442.5,461.5,12.0,0.0,0.0,0.0,0.0
"2,4-D butyl ester",NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-D sodium salt",NO,YES,NO,NO,Pounds,1.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-DB",NO,NO,NO,NO,Pounds,2.0,0.0,0.0,0.0,0.0,0.0,0.0
"2,4-Diaminotoluene",NO,YES,NO,NO,Pounds,674.0,0.0,786.0,10.0,0.0,0.0,0.0
"2,4-Dichlorophenol",NO,NO,NO,NO,Pounds,45.318,0.0,7699.0,100455.0,0.0,0.0,0.0
"2,4-Dimethylphenol",NO,NO,NO,NO,Pounds,10072.1155,367.723,425.0,933329.0,0.0,0.0,9.6
"2,4-Dinitrophenol",NO,NO,NO,NO,Pounds,5.0,0.0,0.0,223286.0,0.0,0.0,0.0
"2,4-Dinitrotoluene",NO,YES,NO,NO,Pounds,2176.385,0.0,0.011,0.01,0.0,0.0,6.1
"2,6-Dinitrotoluene",NO,YES,NO,NO,Pounds,496.424,0.0,0.0,0.0,0.0,0.0,0.0
"2,6-Xylidine",NO,YES,NO,NO,Pounds,114.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Chloro-1,1,1,2-tetrafluoroethane (HCFC-124)",NO,NO,NO,NO,Pounds,92848.15800000001,0.0,0.0,0.0,0.0,0.0,0.0
"2-Chloro-1,1,1-trifluoroethane (HCFC-133a)",NO,NO,NO,NO,Pounds,20292.092,36.0,0.0,0.0,0.0,0.0,0.0
2-Ethoxyethanol,NO,NO,NO,NO,Pounds,32373.745000000003,0.0,135.013,0.012,0.0,0.0,4889.43
2-Mercaptobenzothiazole,NO,YES,NO,NO,Pounds,1385.77,1397.0,4886.4,0.0,0.0,0.0,6104.0
2-Methoxyethanol,NO,NO,NO,NO,Pounds,4163.41,5.0,195.0,0.0,0.0,0.0,1875.6
2-Methyllactonitrile,NO,NO,NO,NO,Pounds,8231.7,0.0,0.0,293279.0,0.0,0.0,0.0
2-Methylpyridine,NO,NO,NO,NO,Pounds,5798.38,0.0,9.0,42955.0,0.0,0.0,0.0
2-Nitrophenol,NO,NO,NO,NO,Pounds,0.0,121.0,0.0,4323.0,0.0,0.0,0.0
2-Nitropropane,NO,YES,NO,NO,Pounds,20253.02,0.0,0.0,0.0,0.0,0.0,0.0
2-Phenylphenol,NO,NO,NO,NO,Pounds,28.13,0.0,0.0,0.0,0.0,0.0,0.0
"2-Propenoic acid, 2-methyl-, octadecyl ester, polymer with 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,12-heneicosafluorododecyl 2-propenoate, 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,10-heptadecafluorodecyl 2-propenoate and 3,3,4,4,5,5,6,6,7,7,8,8,9,9,10,10,11,11,12,12,13,13,14,14,14-pentacosafluorotetradecyl 2-propenoate",NO,NO,NO,YES,Pounds,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"2-Propenoic acid, butyl ester, telomer with 2-[[(heptadecafluorooctyl)sulfonyl]methylamino]ethyl 2-propenoate, 2-[methyl[(nonafluorobutyl)sulfonyl]amino]ethyl 2-propenoate, α-(2-methyl-1-oxo-2-propenyl)-ω-hydroxypoly(oxy-1,4-butanediyl), α-(2-methyl-1-oxo-2-propenyl)-ω-[(2-methyl-1-oxo-2-propenyl)oxy]poly(oxy-1,4-butanediyl), 2-[methyl[(pentadecafluoroheptyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(tridecafluorohexyl)sulfonyl]amino]ethyl 2-propenoate, 2-[methyl[(undecafluoropentyl)sulfonyl]amino]ethyl 2-propenoate and 1-octanethiol",NO,NO,NO,YES,Pounds,0.41,0.0,0.0,0.0,0.0,0.0,0.0
"2-Propenoic acid, esters, 2-methyl-, dodecyl ester, polymer with α-fluoro-ω-[2-[(2-methyl-1-oxo-2-propen-1-yl)oxy]ethyl]poly(difluoromethylene)",NO,NO,NO,YES,Pounds,1.0,0.0,0.0,0.0,0.0,0.0,0.0
