,Unnamed: 0,4. FACILITY NAME,34. CHEMICAL,51. 5.4 - UNDERGROUND,40. CLASSIFICATION,41. METAL,43. CARCINOGEN,44. PBT,45. PFAS,47. UNIT OF MEASURE,52. 5.4.1 - UNDERGROUND CL I,53. 5.4.2 - UNDERGROUND C II-V,71. 6.2 - M71,72. 6.2 - M81,73. 6.2 - M82,Total Underground
29702,29702,EVONIK CORP,Formaldehyde,0.0,TRI,NO,YES,NO,NO,Pounds,4470.0,0.0,0.0,0.0,0.0,4470.0
29772,29772,SAMSUNG AUSTIN SEMICONDUCTOR,Nitric acid,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,1713.0,0.0,1713.0
29809,29809,SOUTH ATLANTIC GALVANIZING,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,55343.0,0.0,55343.0
29888,29888,CHS CORSON FEED,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,5.0,0.0,0.0,0.0,5.0
29917,29917,WORLD ENERGY BIOX BIOFUELS,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,268859.0,0.0,268859.0
29930,29930,CENTRAL WIRE INC,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,10219.44,0.0,10219.44
29980,29980,STERLING SPECIALTY CHEMICALS LLC,Cumene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.03,0.0,0.03
29988,29988,AXIALL LLC,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,346.0,346.0
30073,30073,EQUISTAR CHEMICALS LP,"Benzo[g,h,i]perylene",0.0,PBT,NO,NO,YES,NO,Pounds,21.46,0.0,0.0,0.0,0.0,21.46
30424,30424,ROSS INCINERATION SERVICES INC,Parathion,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.007,0.0,0.007
30462,30462,ENTERPRISE PRODUCTS OPERATING LLC,Xylene (mixed isomers),0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,740.26,0.0,740.26
30507,30507,FORT AMANDA SPECIALTIES LLC,Hydrogen cyanide,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,2.61,1362.753,1365.3629999999998
30508,30508,ROSS INCINERATION SERVICES INC,Urethane,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.232,0.0,0.232
30648,30648,THIRD COAST TERMINALS PEARLAND,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,1095.0,0.0,1095.0
30668,30668,CHEVRON PHILLIPS CHEMICAL CO LP,Xylene (mixed isomers),0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,7.2,0.0,7.2
30675,30675,TM DEER PARK SERVICES LP,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,14888.0,0.0,0.0,0.0,0.0,14888.0
30676,30676,TM DEER PARK SERVICES LP,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,2153584.0,0.0,0.0,0.0,0.0,2153584.0
30713,30713,UNION PROCESSING SYSTEMS LLC,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,669059.0,0.0,0.0,0.0,0.0,669059.0
30737,30737,SUEZ WATER TECHNOLOGIES & SOLUTIONS INC.  - ORANGE,Sodium nitrite,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,2400.0,0.0,2400.0
30802,30802,INV NYLON CHEMICALS AMERICAS VICTORIA SITE,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,200000.0,0.0,0.0,0.0,0.0,200000.0
30830,30830,CHEMTRON CORP,Chloroform,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,1607.38,0.0,1607.38
30902,30902,SACHEM INC,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,126035.0,0.0,126035.0
30930,30930,OKLAHOMA STEEL & WIRE CO INC,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,34917.0,0.0,34917.0
30946,30946,JERRITT CANYON MINE,Manganese compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,30.0,0.0,0.0,0.0,30.0
30963,30963,EMPIRE HARD CHROME INC.,Lead  And Lead Compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,0.37,0.0,0.37
31156,31156,GLADIEUX METALS RECYCLING LLC,Nickel compounds,0.0,TRI,YES,YES,NO,NO,Pounds,0.0,0.0,0.0,378.0,0.0,378.0
31179,31179,S + S INDUSTRIES,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,5937.0,0.0,5937.0
31297,31297,GALATA CHEMICALS LLC - GALATA TAFT FACILITY,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,144.0,0.0,0.0,0.0,0.0,144.0
31425,31425,CAPITAL RESIN CORP,Formaldehyde,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,82.0,0.0,82.0
31440,31440,INV NYLON CHEMICALS AMERICAS VICTORIA SITE,Cyclohexane,0.0,TRI,NO,NO,NO,NO,Pounds,52000.0,0.0,0.0,0.0,0.0,52000.0
31486,31486,DIAMOND SHAMROCK REFINING CO LP,Cyclohexane,0.0,TRI,NO,NO,NO,NO,Pounds,4900.0,0.0,0.0,0.0,0.0,4900.0
31530,31530,PRYOR CHEMICAL CO,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,511651.99,0.0,0.0,0.0,0.0,511651.99
31629,31629,ARKEMA COATING RESINS,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,5286.0,0.0,5286.0
31631,31631,PERGAN MARSHALL LLC,Cumene hydroperoxide,0.0,TRI,NO,NO,NO,NO,Pounds,22783.0,0.0,0.0,0.0,0.0,22783.0
31701,31701,ZALK STEEL & SUPPLY CO,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,0.0,0.0,8.57,0.0,8.57
31748,31748,FLORIDA POWER & LIGHT-WEST COUNTY ENERGY CENTER PLANT,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,932.0,0.0,0.0,0.0,0.0,932.0
31766,31766,ALBEMARLE CORP SOUTH PLANT,Benzene,0.0,TRI,NO,YES,NO,NO,Pounds,10.0,0.0,0.0,0.0,0.0,10.0
31809,31809,TM DEER PARK SERVICES LP,Isobutyraldehyde,0.0,TRI,NO,NO,NO,NO,Pounds,102444.0,0.0,0.0,0.0,0.0,102444.0
31854,31854,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - EAST PLANT,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,1.0,0.0,1.0
31858,31858,BLANCHARD REFINING CO LLC,Nickel compounds,0.0,TRI,YES,YES,NO,NO,Pounds,22.0,0.0,0.0,0.0,0.0,22.0
31871,31871,INEOS NITRILES USA LLC           GREEN LAKE PLANT,Allyl alcohol,0.0,TRI,NO,NO,NO,NO,Pounds,76151.0,0.0,0.0,0.0,0.0,76151.0
32057,32057,INEOS NITRILES USA LLC,Hydroquinone,0.0,TRI,NO,NO,NO,NO,Pounds,78120.0,0.0,0.0,0.0,0.0,78120.0
32065,32065,JERRITT CANYON MINE,Cadmium compounds,0.0,TRI,YES,YES,NO,NO,Pounds,0.0,30.0,0.0,0.0,0.0,30.0
32086,32086,JERRITT CANYON MINE,Copper compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,150.0,0.0,0.0,0.0,150.0
32180,32180,US ECOLOGY TEXAS INC,Zinc (fume or dust),0.0,TRI,NO,NO,NO,NO,Pounds,46.15,0.0,0.0,0.0,0.0,46.15
32333,32333,VERSUM MATERIALS US LLC,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,2684.2,0.0,2684.2
32345,32345,PRAIRIE STATE GENERATING CO,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,27.0,0.0,0.0,0.0,0.0,27.0
32389,32389,EQUISTAR CHEMICALS LP,Propionaldehyde,0.0,TRI,NO,NO,NO,NO,Pounds,8.7,0.0,0.0,0.0,0.0,8.7
32582,32582,DIAMOND SHAMROCK REFINING CO LP,Lead compounds,0.0,PBT,YES,NO,YES,NO,Pounds,280.0,0.0,0.0,0.0,0.0,280.0
32597,32597,WHARF RESOURCES,Cyanide compounds,0.0,TRI,NO,NO,NO,NO,Pounds,0.2,0.0,0.0,0.0,0.0,0.2
32614,32614,EQUISTAR CHEMICALS LP,Acetaldehyde,0.0,TRI,NO,YES,NO,NO,Pounds,669.01,0.0,0.0,0.0,0.0,669.01
32622,32622,CITGO REFINING & CHEMICALS CO LP EAST PLANT,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,17.12,0.0,17.12
32670,32670,ASCEND PERFORMANCE MATERIALS OPERATIONS LLC,Propionaldehyde,0.0,TRI,NO,NO,NO,NO,Pounds,30881.0,0.0,0.0,0.0,0.0,30881.0
32815,32815,US ARMY HOLSTON ARMY AMMUNITION PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,5140128.0,0.0,5140128.0
32825,32825,ENTERPRISE PRODUCTS OPERATING LLC,Cyclohexane,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.004,0.0,0.004
32903,32903,RUBICON LLC,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,560000.0,0.0,0.0,0.0,0.0,560000.0
32923,32923,ALBEMARLE CORP SOUTH PLANT,1-Bromopropane,0.0,TRI,NO,YES,NO,NO,Pounds,10.0,0.0,0.0,0.0,0.0,10.0
32938,32938,GALATA CHEMICALS LLC - GALATA TAFT FACILITY,Barium compounds (except for barium sulfate (CAS No. 7727-43-7)),0.0,TRI,NO,NO,NO,NO,Pounds,549.0,0.0,0.0,0.0,0.0,549.0
32953,32953,WESTSIDE GALVANIZING SERVICES INC,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,6562.97,0.0,6562.97
33009,33009,AZZ GALVANIZING SERVICES-PEORIA,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,0.0,0.0,1.27,0.0,1.27
33098,33098,LANXESS - SOUTH PLANT,Styrene,0.0,TRI,NO,YES,NO,NO,Pounds,16.0,0.0,0.0,0.0,0.0,16.0
33299,33299,JERRITT CANYON MINE,Thallium compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,15.0,0.0,0.0,0.0,15.0
33300,33300,AZZ GALVANIZING SERVICES-HOUSTON,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,8473.53,0.0,8473.53
33459,33459,COAL CREEK STATION,Nickel compounds,0.0,TRI,YES,YES,NO,NO,Pounds,29.0,0.0,0.0,0.0,0.0,29.0
33483,33483,FREEPORT_OLIN BC,Dioxin and dioxin-like compounds,0.0,Dioxin,NO,YES,YES,NO,Grams,0.0,0.40744462,0.0,0.0,0.0,0.40744462
33559,33559,ROSS INCINERATION SERVICES INC,"2,4-Dinitrotoluene",0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.01,0.0,0.01
33578,33578,ROSS INCINERATION SERVICES INC,Epichlorohydrin,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.006,0.0,0.006
33616,33616,EQUISTAR CHEMICALS LP,Cobalt compounds,0.0,TRI,YES,NO,NO,NO,Pounds,12.97,0.0,0.0,0.0,0.0,12.97
33661,33661,CHS MCPHERSON REFINERY - SRU,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,8313.0,0.0,0.0,0.0,0.0,8313.0
33703,33703,EQUISTAR CHEMICALS LP,Cyclohexane,0.0,TRI,NO,NO,NO,NO,Pounds,70.3,0.0,0.0,0.0,0.0,70.3
33745,33745,LYONDELL CHEMICAL CO,Acetonitrile,0.0,TRI,NO,NO,NO,NO,Pounds,30570.0,0.0,0.0,0.008,0.0,30570.008
33767,33767,CITGO REFINING & CHEMICALS CO LP-WEST PLANT,Toluene,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,289.15,0.0,289.15
33788,33788,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,Antimony  And Antimony Compounds,0.0,TRI,YES,NO,NO,NO,Pounds,7617.0,0.0,0.0,0.0,0.0,7617.0
33952,33952,UNION PROCESSING SYSTEMS LLC,"N,N-Dimethylformamide",0.0,TRI,NO,YES,NO,NO,Pounds,493324.0,0.0,0.0,0.0,0.0,493324.0
34095,34095,INEOS NITRILES USA LLC           GREEN LAKE PLANT,Pyridine,0.0,TRI,NO,YES,NO,NO,Pounds,138472.0,0.0,0.0,0.0,0.0,138472.0
34198,34198,COEUR ALASKA INC KENSINGTON GOLD PROJECT,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,59.0,0.0,0.0,0.0,59.0
34223,34223,BLANCHARD REFINING CO LLC,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,14000.0,0.0,0.0,0.0,0.0,14000.0
34229,34229,UNITED GALVANIZING INC.,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,39100.0,0.0,39100.0
34246,34246,LINWOOD MINING & MINERALS CORP LIME PLANT,Mercury,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,82.53,0.0,0.0,0.0,82.53
34340,34340,CORNERSTONE CHEMICAL CO,Acetamide,0.0,TRI,NO,YES,NO,NO,Pounds,75238.0,0.0,0.0,0.0,0.0,75238.0
34466,34466,FLINT HILLS RESOURCES CORPUS CHRISTI LLC - WEST PLANT,Benzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,7.0,0.0,7.0
34516,34516,S + S INDUSTRIES,Lead compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,0.12,0.0,0.12
34519,34519,US ECOLOGY TEXAS INC,Naphthalene,0.0,TRI,NO,YES,NO,NO,Pounds,11.03,0.0,0.0,0.0,0.0,11.03
34573,34573,US ECOLOGY TEXAS INC,Nickel  And Nickel Compounds,0.0,TRI,YES,YES,NO,NO,Pounds,692.3,0.0,0.0,0.0,0.0,692.3
34601,34601,ROEHM AMERICA LLC,Cyanide compounds,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,7023.0,0.0,7023.0
34605,34605,JBS SWIFT CACTUS,Chromium,0.0,TRI,YES,NO,NO,NO,Pounds,736.2,0.0,0.0,0.0,0.0,736.2
34654,34654,ROSS INCINERATION SERVICES INC,Diisocyanates,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.4,0.0,0.4
34659,34659,ROSS INCINERATION SERVICES INC,Diethanolamine,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.046,0.0,0.046
34885,34885,VICKERY ENVIRONMENTAL INC.,Arsenic  And Arsenic Compounds,0.0,TRI,YES,NO,NO,NO,Pounds,72318.0,0.0,0.0,0.0,0.0,72318.0
34890,34890,ENCHRO PLATING LTD.,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,35920.0,35920.0
35144,35144,UNION PROCESSING SYSTEMS LLC,Manganese compounds,0.0,TRI,YES,NO,NO,NO,Pounds,482980.0,0.0,0.0,0.0,0.0,482980.0
35263,35263,EQUISTAR CHEMICALS LP,Styrene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,4.0,0.0,4.0
35267,35267,CHEMOURS DELISLE PLANT,Lead compounds,0.0,PBT,YES,NO,YES,NO,Pounds,215739.0,0.0,0.0,0.0,0.0,215739.0
35340,35340,ALBEMARLE CORP SOUTH PLANT,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,14500.0,0.0,0.0,0.0,0.0,14500.0
35379,35379,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,2900.0,0.0,0.0,0.0,0.0,2900.0
35403,35403,ASARCO LLC AMARILLO COPPER REFINERY,Nickel  And Nickel Compounds,0.0,TRI,YES,YES,NO,NO,Pounds,45563.0,0.0,0.0,0.0,0.0,45563.0
35404,35404,CLEAN HARBORS SAN LEON INC,Benzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.5,0.0,0.5
35443,35443,DIAMOND SHAMROCK REFINING CO LP,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,3700.0,0.0,0.0,0.0,0.0,3700.0
35463,35463,SUEZ WATER TECHNOLOGIES & SOLUTIONS INC.  - ORANGE,n-Butyl alcohol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,160.0,0.0,160.0
35472,35472,CITGO REFINING & CHEMICALS CO LP-WEST PLANT,Chromium,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.05,0.0,0.05
35730,35730,US ECOLOGY TEXAS INC,Dioxin and dioxin-like compounds,0.0,Dioxin,NO,YES,YES,NO,Grams,0.0487531,0.0,0.0,0.0,0.0,0.0487531
35771,35771,REPUBLIC INDUSTRIAL & ENERGY SOLUTIONS LLC,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,19000.0,0.0,0.0,0.0,0.0,19000.0
35827,35827,ROSS INCINERATION SERVICES INC,Triethylamine,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.139,0.0,0.139
35935,35935,VICKERY ENVIRONMENTAL INC.,Nickel  And Nickel Compounds,0.0,TRI,YES,YES,NO,NO,Pounds,34455.0,0.0,0.0,0.0,0.0,34455.0
35949,35949,BAERLOCHER USA,Barium  And Barium Compounds,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,37.89,0.0,37.89
36004,36004,BASF CORP - BEAUMONT,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,129121.0,0.0,0.0,0.0,0.0,129121.0
36108,36108,INNOPHOS INC,Hydrogen fluoride,0.0,TRI,NO,NO,NO,NO,Pounds,19110.0,0.0,0.0,0.0,0.0,19110.0
36113,36113,INEOS NITRILES USA LLC           GREEN LAKE PLANT,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,23959.0,0.0,0.0,0.0,0.0,23959.0
36115,36115,DUREZ CORP,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,9526.0,0.0,9526.0
36154,36154,PAR HAWAII REFINING LLC,Mercury  And Mercury Compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,2.851,0.0,0.0,0.0,2.851
36168,36168,INNOPHOS INC,Chromium,0.0,TRI,YES,NO,NO,NO,Pounds,59485.0,0.0,0.0,0.0,0.0,59485.0
36351,36351,TM DEER PARK SERVICES LP,o-Xylene,0.0,TRI,NO,NO,NO,NO,Pounds,28178.0,0.0,0.0,0.0,0.0,28178.0
36408,36408,TITANIUM METALS CORP,Hydrogen fluoride,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,14733.45,0.0,14733.45
36546,36546,RUBICON LLC,Diphenylamine,0.0,TRI,NO,NO,NO,NO,Pounds,790.0,0.0,0.0,0.0,0.0,790.0
36556,36556,BAYER CROPSCIENCE LP,Nitrate compounds (water dissociable; reportable only when in aqueous solution),0.0,TRI,NO,NO,NO,NO,Pounds,8500.0,0.0,0.0,0.0,0.0,8500.0
36607,36607,ASCEND PERFORMANCE MATERIALS-CHOCOLATE BAYOU PLANT,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,4046846.0,0.0,0.0,0.0,0.0,4046846.0
36630,36630,LYONDELL CHEMICAL CO,Allyl alcohol,0.0,TRI,NO,NO,NO,NO,Pounds,109749.0,0.0,0.0,0.0,0.0,109749.0
36790,36790,SOUTHERN GALVANIZING CO,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,0.0,0.0,91.04,0.0,91.04
36798,36798,COSACO LLC,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,27904.0,27904.0
36816,36816,BASIN ELECTRIC ANTELOPE VALLEY STATION,Xylene (mixed isomers),0.0,TRI,NO,NO,NO,NO,Pounds,9.0,0.0,0.0,0.0,0.0,9.0
36930,36930,SOUTHWEST GALVANIZING INC,Lead compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,69.0,0.0,69.0
36957,36957,ROSS INCINERATION SERVICES INC,Chlorobenzene,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.095,0.0,0.095
36987,36987,ROSS INCINERATION SERVICES INC,Chlordane,0.0,PBT,NO,YES,YES,NO,Pounds,0.0,0.0,0.0,0.015,0.0,0.015
36991,36991,ROSS INCINERATION SERVICES INC,Butyraldehyde,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.017,0.0,0.017
37047,37047,ROSS INCINERATION SERVICES INC,Chloroform,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,0.08,0.0,0.08
37059,37059,WESTERN REFINING TERMINALS LLC - BLOOMFIELD,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,2.0,0.0,0.0,0.0,0.0,2.0
37062,37062,KURARAY AMERICA INC,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,474221.0,0.0,0.0,0.0,0.0,474221.0
37099,37099,CHEMTREAT INC,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,723.0,0.0,723.0
37367,37367,CHAMPIONX-SCOTT,"1,2,4-Trimethylbenzene",0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,13703.3,0.0,13703.3
37429,37429,CHEVRON PHILLIPS CHEMICAL CO LP,Benzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,4.0,0.0,4.0
37435,37435,TM DEER PARK SERVICES LP,Epichlorohydrin,0.0,TRI,NO,YES,NO,NO,Pounds,23794.0,0.0,0.0,0.0,0.0,23794.0
37451,37451,HALLIBURTON FORT LUPTON FIELD CAMP,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,22084.0,0.0,22084.0
37454,37454,HOLLYFRONTIER TULSA REFINING LLC EAST FACILITY,Toluene,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,17.0,0.0,17.0
37474,37474,DYNO NOBEL INC-CHEYENNE PLANT,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,6654.0,0.0,0.0,0.0,0.0,6654.0
37496,37496,CHEVRON PHILLIPS CHEMICAL CO LP,Ethylbenzene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,6.5,0.0,6.5
37547,37547,STEEL DYNAMICS INC-FLAT ROLL DIV,Lead compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,1354.73,0.0,1354.73
37575,37575,BALL METAL BEVERAGE CONTAINER CORP,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,1.01,0.0,0.0,0.0,1.01
37640,37640,HOLLYFRONTIER NAVAJO REFINING LLC - ARTESIA REFINERY,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,2.0,0.0,0.0,0.0,0.0,2.0
37659,37659,BAYER CROPSCIENCE LP,Formaldehyde,0.0,TRI,NO,YES,NO,NO,Pounds,9200000.0,0.0,0.0,0.0,0.0,9200000.0
37773,37773,TITANIUM METALS CORP,Lead  And Lead Compounds,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,0.46,0.0,0.46
37799,37799,VICKERY ENVIRONMENTAL INC.,Hydrogen fluoride,0.0,TRI,NO,NO,NO,NO,Pounds,340547.0,0.0,0.0,0.0,0.0,340547.0
37935,37935,S + S INDUSTRIES,Nickel compounds,0.0,TRI,YES,YES,NO,NO,Pounds,0.0,0.0,0.0,898.0,0.0,898.0
37958,37958,U.S. STEEL GRANITE CITY WORKS,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.2,0.0,0.2
38018,38018,BASIN ELECTRIC ANTELOPE VALLEY STATION,Manganese  And Manganese Compounds,0.0,TRI,YES,NO,NO,NO,Pounds,236.0,0.0,0.0,0.0,0.0,236.0
38019,38019,ARKEMA INC,Certain glycol ethers,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,250.0,0.0,250.0
38121,38121,SOUTH ATLANTIC GALVANIZING,Lead,0.0,PBT,YES,YES,YES,NO,Pounds,0.0,0.0,0.0,1.6,0.0,1.6
38151,38151,ROSS INCINERATION SERVICES INC,Maleic anhydride,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,0.039,0.0,0.039
38282,38282,CLEVELAND-CLIFFS STEEL CORP - ZANESVI LLE WORKS,Chromium compounds (except for chromite ore mined in the Transvaal Region),0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,1414.0,0.0,1414.0
38321,38321,SRG GLOBAL FARMINGTON,Copper  And Copper Compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,91152.0,0.0,91152.0
38408,38408,CLEVELAND-CLIFFS CLEVELAND WORKS LLC DBA CLEVELAND-CLIFFS WA,Mercury,0.0,PBT,YES,NO,YES,NO,Pounds,0.0,0.0,0.0,0.033,0.0,0.033
38448,38448,SUEZ WATER TECHNOLOGIES & SOLUTIONS INC.  - ORANGE,Naphthalene,0.0,TRI,NO,YES,NO,NO,Pounds,0.0,0.0,0.0,1300.0,0.0,1300.0
38495,38495,LYONDELL CHEMICAL CO,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,1612678.0,0.0,0.0,0.0,0.0,1612678.0
38576,38576,CHAMPIONX-SCOTT,Ethylene glycol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,295.5,0.0,295.5
38598,38598,ART GALVANIZING WORKS INC,Zinc compounds,0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,4490.0,0.0,4490.0
38606,38606,COASTAL CHEMICAL CO LLC,Methanol,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,5.0,0.0,5.0
38640,38640,THIRD COAST TERMINALS PEARLAND,Diethanolamine,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,0.0,0.0,1227.0,0.0,1227.0
38682,38682,TM DEER PARK SERVICES LP,Phthalic anhydride,0.0,TRI,NO,NO,NO,NO,Pounds,36306.0,0.0,0.0,0.0,0.0,36306.0
38709,38709,HFFC AIRPORT FUEL FARM,Ammonia,0.0,TRI,NO,NO,NO,NO,Pounds,0.0,1.1697,0.0,0.0,0.0,1.1697
38748,38748,TITANIUM METALS CORP,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.08,0.0,0.08
39013,39013,SCOT INDUSTRIES,Chromium  and Chromium Compounds(except for chromite ore mined in the Transvaal Region),0.0,TRI,YES,NO,NO,NO,Pounds,0.0,0.0,0.0,0.0,5289.0,5289.0
